oras,siruta,cod,cod_functional,sectiune,coloana,valoare_veche,valoare_noua,raport,raport_relativ,semnatura,vechi_verificat,nou_verificat,pagina_noua,prioritate
Oradea,26564,70.02.03,,,est2027,409.36,26479.68,64.69,70.85,outlier,True,True,18,487.3
Oradea,26564,55.01,70.02,,trim1,238.00,15867.48,66.67,73.02,outlier,True,True,17,446.3
Oradea,26564,55,70.02,,trim1,238.00,15867.48,66.67,73.02,outlier,True,True,17,446.3
Oradea,26564,71,67.02,,trim1,782.65,6772.48,8.653,9.477,outlier,True,False,14,381.8
Oradea,26564,42.02.88.03,,,trim2,34195.52,603.28,0.01764,0.01932,outlier,True,True,3,377.8
Oradea,26564,71.01,81.02,,trim4,500.00,25000.00,50,54.76,outlier,True,True,21,371.7
Oradea,26564,70,81.02,,trim4,500.00,25000.00,50,54.76,outlier,True,True,21,371.7
Oradea,26564,71.01.30,81.02,,trim4,500.00,25000.00,50,54.76,outlier,True,True,21,371.7
Oradea,26564,71,65.02,,trim1,201.94,11333.34,56.12,61.47,outlier,True,True,11,347.8
Oradea,26564,71.01,65.02,,trim1,201.94,11333.34,56.12,61.47,outlier,True,True,11,347.8
Oradea,26564,70,65.02,,trim1,201.94,11333.34,56.12,61.47,outlier,True,True,11,347.8
Oradea,26564,71.01.30,65.02,,trim1,201.94,10017.34,49.61,54.33,outlier,True,True,11,298.9
Oradea,26564,66.02.06,,,trim2,266075.83,23965.24,0.09007,0.09865,decimal_shift,True,True,13,240.4
Oradea,26564,66.02.06.01,,,trim2,266075.83,23965.24,0.09007,0.09865,decimal_shift,True,True,13,240.4
Oradea,26564,71.01.01,70.02,,trim3,400.00,14222.18,35.56,38.94,outlier,True,True,18,232.1
Oradea,26564,65.02.50,,,est2027,2066.72,53128.70,25.71,28.16,outlier,True,True,11,227.8
Oradea,26564,60,84.02,,trim2,43256.35,1378.42,0.03187,0.0349,outlier,True,True,22,220.9
Oradea,26564,66.02,,,trim2,273726.30,27913.49,0.102,0.1117,outlier,False,False,11,213.8
Oradea,26564,60.01,84.02,,trim2,34934.76,1175.14,0.03364,0.03684,outlier,True,True,22,199.1
Oradea,26564,60.03,84.02,,trim2,8321.59,203.28,0.02443,0.02675,outlier,True,True,22,197.2
Oradea,26564,58,50.02,,trim1,7927.00,139569.27,17.61,19.28,outlier,True,True,4,196.0
Oradea,26564,79,81.02,,trim2,487.50,14519.72,29.78,32.62,outlier,True,True,21,195.4
Oradea,26564,81.04,81.02,,trim2,487.50,14519.72,29.78,32.62,outlier,True,True,21,195.4
Oradea,26564,81,81.02,,trim2,487.50,14519.72,29.78,32.62,outlier,True,True,21,195.4
Oradea,26564,20.30,67.02,,trim2,36.00,1568.00,43.56,47.7,outlier,True,True,13,173.9
Oradea,26564,60,84.02,,trim3,31200.00,1200.00,0.03846,0.04212,outlier,True,True,22,169.6
Oradea,26564,60.01,84.02,,trim4,26800.00,1000.00,0.03731,0.04087,outlier,True,True,22,168.8
Oradea,26564,60.01,84.02,,trim3,26800.00,1000.00,0.03731,0.04087,outlier,True,True,22,168.8
Oradea,26564,60,84.02,,trim4,30900.00,1200.00,0.03883,0.04253,outlier,True,True,22,167.6
Oradea,26564,55.01.12,70.02,,trim2,292.00,8303.85,28.44,31.15,outlier,True,True,17,164.2
Oradea,26564,70.02.05,,,trim2,292.00,8303.85,28.44,31.15,outlier,True,True,19,164.2
Oradea,26564,70.02.05.01,,,trim2,292.00,8303.85,28.44,31.15,outlier,True,True,19,164.2
Oradea,26564,70.02.05,,,est2027,933.31,20000.00,21.43,23.47,outlier,True,True,19,151.3
Oradea,26564,70.02.05.01,,,est2027,933.31,20000.00,21.43,23.47,outlier,True,True,19,151.3
Oradea,26564,55.01.12,70.02,,trim3,292.00,7549.00,25.85,28.31,outlier,True,True,17,146.1
Oradea,26564,70.02.05,,,trim3,292.00,7549.00,25.85,28.31,outlier,True,True,19,146.1
Oradea,26564,70.02.05.01,,,trim3,292.00,7549.00,25.85,28.31,outlier,True,True,19,146.1
Oradea,26564,58.32.01,81.02,,trim1,207.00,5459.00,26.37,28.88,outlier,True,True,21,138.6
Oradea,26564,80.02,,,est2027,831.06,9351.30,11.25,12.32,outlier,False,False,20,133.5
Oradea,26564,81.04,84.02,,trim2,4195.77,59433.00,14.16,15.51,outlier,True,True,22,128.9
Oradea,26564,79,84.02,,trim2,4392.77,60015.00,13.66,14.96,outlier,True,True,22,124.6
Oradea,26564,81,84.02,,trim2,4392.77,60015.00,13.66,14.96,outlier,True,True,22,124.6
Oradea,26564,61,74.02,,trim2,25075.79,2500.00,0.0997,0.1092,outlier,False,True,19,124.4
Oradea,26564,85.01.01,70.02,,trim1,-4.60,-200.00,43.48,47.62,outlier,True,True,18,113.3
Oradea,26564,43.02,,,trim3,8000.00,373.25,0.04666,0.0511,outlier,True,True,4,102.3
Oradea,26564,43.02,,,trim4,8000.00,373.25,0.04666,0.0511,outlier,True,True,4,102.3
Oradea,26564,43.02,,,est2027,24314.01,1554.21,0.06392,0.07001,outlier,True,True,4,96.3
Oradea,26564,60.03,84.02,,trim3,4400.00,200.00,0.04545,0.04978,outlier,True,True,22,91.8
Oradea,26564,55.01.42,70.02,,trim2,5000.00,238.00,0.0476,0.05213,outlier,True,True,17,90.2
Oradea,26564,81,66.02,,trim4,1355.81,17614.44,12.99,14.23,outlier,True,True,13,89.1
Oradea,26564,79,66.02,,trim4,1355.81,17614.44,12.99,14.23,outlier,True,True,13,89.1
Oradea,26564,20.01.04,70.02,,trim1,3000.00,130.00,0.04333,0.04746,outlier,True,True,17,88.5
Oradea,26564,70,51.02,,trim3,3495.00,317.20,0.09076,0.0994,decimal_shift,True,True,6,87.4
Oradea,26564,71.01,51.02,,trim3,3495.00,317.20,0.09076,0.0994,decimal_shift,True,True,6,87.4
Oradea,26564,71,51.02,,trim3,3495.00,317.20,0.09076,0.0994,decimal_shift,True,True,6,87.4
Oradea,26564,61,84.02,,trim1,63000.00,5626.49,0.08931,0.09782,outlier,True,True,22,86.1
Oradea,26564,71.01.30,81.02,,trim1,95062.04,9538.29,0.1003,0.1099,outlier,True,True,21,84.4
Oradea,26564,71.01,81.02,,trim1,95062.04,9538.29,0.1003,0.1099,outlier,True,True,21,84.4
Oradea,26564,70,81.02,,trim1,95062.04,9538.29,0.1003,0.1099,outlier,True,True,21,84.4
Oradea,26564,60.03,84.02,,trim4,4100.00,200.00,0.04878,0.05343,outlier,True,True,22,84.2
Oradea,26564,42.02.89.02,,,trim1,36000.00,3135.78,0.08711,0.0954,outlier,True,True,3,77.4
Oradea,26564,61.02,84.02,,trim1,36000.00,3135.78,0.08711,0.0954,outlier,True,True,22,77.4
Oradea,26564,42.02.01,,,trim1,50000.00,4789.65,0.09579,0.1049,outlier,True,True,3,76.0
Oradea,26564,42.02.01.01,,,trim1,50000.00,4789.65,0.09579,0.1049,outlier,True,True,3,76.0
Oradea,26564,20.30,67.02,,trim3,1536.00,68.00,0.04427,0.04849,outlier,True,True,13,74.9
Oradea,26564,70,50.02,,trim4,8608.66,67479.88,7.839,8.585,outlier,True,True,5,73.5
Oradea,26564,71,50.02,,trim4,8608.66,67479.88,7.839,8.585,outlier,True,True,5,73.5
Oradea,26564,71,70.02,,trim4,2130.75,21274.18,9.984,10.94,outlier,True,True,18,71.5
Oradea,26564,70,70.02,,trim4,2130.75,21274.18,9.984,10.94,outlier,True,True,18,71.5
Oradea,26564,71.01,70.02,,trim4,2120.75,21024.18,9.914,10.86,outlier,True,True,18,70.8
Oradea,26564,71.03,70.02,,trim4,10.00,250.00,25,27.38,outlier,True,True,18,68.1
Oradea,26564,71,70.02,,trim3,4635.63,38037.11,8.205,8.987,outlier,True,True,18,67.2
Oradea,26564,70,70.02,,trim3,4635.63,38037.11,8.205,8.987,outlier,True,True,18,67.2
Oradea,26564,43.02,,,trim2,5664.56,373.25,0.06589,0.07217,outlier,True,True,4,67.0
Oradea,26564,80.02.01.10,,,est2027,831.06,9351.30,11.25,12.32,outlier,True,True,20,66.8
Oradea,26564,71.01,70.02,,trim3,4635.63,37037.11,7.99,8.751,outlier,True,True,18,65.1
Oradea,26564,61.03,84.02,,trim1,10000.00,839.50,0.08395,0.09195,outlier,True,True,22,59.8
Oradea,26564,60.03,66.02,,trim2,21952.80,2212.70,0.1008,0.1104,outlier,True,True,13,59.7
Oradea,26564,61.01,84.02,,trim1,17000.00,1651.21,0.09713,0.1064,outlier,True,True,22,58.4
Oradea,26564,03.02,,,trim4,3000.00,200.00,0.06667,0.07302,outlier,True,True,1,57.5
Oradea,26564,03.02.18,,,trim4,3000.00,200.00,0.06667,0.07302,outlier,True,True,1,57.5
Oradea,26564,66.02.06,,,trim1,3147.00,23199.94,7.372,8.074,outlier,True,True,13,53.9
Oradea,26564,66.02.06.01,,,trim1,3147.00,23199.94,7.372,8.074,outlier,True,True,13,53.9
Oradea,26564,70,67.02,,trim1,782.65,6772.48,8.653,9.477,outlier,True,True,14,47.7
Oradea,26564,71.01,67.02,,trim1,782.65,6622.48,8.462,9.267,outlier,True,True,14,46.4
Oradea,26564,55.01.18,65.02,,trim3,438.89,4108.76,9.362,10.25,outlier,True,True,10,46.2
